time_s,row,col,cx_m,cy_m,elev_i_deg,snr_i_dB,sinr_i_dB,elev_i1_deg,snr_i1_dB,sinr_i1_dB,best_sat
0.600000,3,2,0.000,28284.271,54.1100,6.6862,-5.7672,-9.4991,-999.0000,-999.0000,0
0.600000,3,3,28284.271,28284.271,54.1100,6.3413,-5.7202,-9.4991,-999.0000,-999.0000,0
0.600000,3,4,56568.542,28284.271,54.1100,5.6474,-5.5154,-9.4991,-999.0000,-999.0000,0
0.600000,4,0,-56568.542,56568.542,54.1100,-1.7592,-5.3162,-9.4991,-999.0000,-999.0000,0
0.600000,4,1,-28284.271,56568.542,54.1100,-3.2739,-7.5044,-9.4991,-999.0000,-999.0000,0
0.600000,4,2,0.000,56568.542,54.1100,-0.8003,-4.6808,-9.4991,-999.0000,-999.0000,0
0.600000,4,3,28284.271,56568.542,54.1100,-1.5610,-4.4190,-9.4991,-999.0000,-999.0000,0
0.600000,4,4,56568.542,56568.542,54.1100,-2.7812,-4.6920,-9.4991,-999.0000,-999.0000,0
0.700000,0,0,-56568.542,-56568.542,54.1478,-2.6318,-4.2547,-9.4945,-999.0000,-999.0000,0
0.700000,0,1,-28284.271,-56568.542,54.1478,-2.0483,-4.4048,-9.4945,-999.0000,-999.0000,0
0.700000,0,2,0.000,-56568.542,54.1478,-1.3462,-3.8222,-9.4945,-999.0000,-999.0000,0
0.700000,0,3,28284.271,-56568.542,54.1478,-6.4756,-9.0618,-9.4945,-999.0000,-999.0000,0
0.700000,0,4,56568.542,-56568.542,54.1478,-5.4525,-7.2052,-9.4945,-999.0000,-999.0000,0
0.700000,1,0,-56568.542,-28284.271,54.1478,6.1835,-5.2349,-9.4945,-999.0000,-999.0000,0
0.700000,1,1,-28284.271,-28284.271,54.1478,6.0488,-6.5349,-9.4945,-999.0000,-999.0000,0
0.700000,1,2,0.000,-28284.271,54.1478,7.0136,-5.6270,-9.4945,-999.0000,-999.0000,0
0.700000,1,3,28284.271,-28284.271,54.1478,6.7750,-5.3352,-9.4945,-999.0000,-999.0000,0
0.700000,1,4,56568.542,-28284.271,54.1478,4.4523,-7.3077,-9.4945,-999.0000,-999.0000,0
0.700000,2,0,-56568.542,0.000,54.1478,7.9444,-6.2118,-9.4945,-999.0000,-999.0000,0
0.700000,2,1,-28284.271,0.000,54.1478,8.1743,-6.8698,-9.4945,-999.0000,-999.0000,0
0.700000,2,2,0.000,0.000,54.1478,8.3591,-7.0585,-9.4945,-999.0000,-999.0000,0
0.700000,2,3,28284.271,0.000,54.1478,8.3858,-6.8219,-9.4945,-999.0000,-999.0000,0
0.700000,2,4,56568.542,0.000,54.1478,7.9027,-6.5340,-9.4945,-999.0000,-999.0000,0
0.700000,3,0,-56568.542,28284.271,54.1478,4.7772,-6.8467,-9.4945,-999.0000,-999.0000,0
0.700000,3,1,-28284.271,28284.271,54.1478,6.3512,-5.6000,-9.4945,-999.0000,-999.0000,0
0.700000,3,2,0.000,28284.271,54.1478,6.6943,-5.7512,-9.4945,-999.0000,-999.0000,0
0.700000,3,3,28284.271,28284.271,54.1478,6.3476,-5.7090,-9.4945,-999.0000,-999.0000,0
0.700000,3,4,56568.542,28284.271,54.1478,5.6513,-5.5081,-9.4945,-999.0000,-999.0000,0
0.700000,4,0,-56568.542,56568.542,54.1478,-1.7698,-5.2997,-9.4945,-999.0000,-999.0000,0
0.700000,4,1,-28284.271,56568.542,54.1478,-3.2938,-7.5067,-9.4945,-999.0000,-999.0000,0
0.700000,4,2,0.000,56568.542,54.1478,-0.7943,-4.6549,-9.4945,-999.0000,-999.0000,0
0.700000,4,3,28284.271,56568.542,54.1478,-1.5634,-4.4033,-9.4945,-999.0000,-999.0000,0
0.700000,4,4,56568.542,56568.542,54.1478,-2.7945,-4.6894,-9.4945,-999.0000,-999.0000,0
0.800000,0,0,-56568.542,-56568.542,54.1857,-2.6405,-4.2591,-9.4899,-999.0000,-999.0000,0
0.800000,0,1,-28284.271,-56568.542,54.1857,-2.0451,-4.3927,-9.4899,-999.0000,-999.0000,0
0.800000,0,2,0.000,-56568.542,54.1857,-1.3294,-3.7978,-9.4899,-999.0000,-999.0000,0
0.800000,0,3,28284.271,-56568.542,54.1857,-6.4834,-9.0663,-9.4899,-999.0000,-999.0000,0
0.800000,0,4,56568.542,-56568.542,54.1857,-5.4673,-7.2183,-9.4899,-999.0000,-999.0000,0
0.800000,1,0,-56568.542,-28284.271,54.1857,6.1964,-5.2184,-9.4899,-999.0000,-999.0000,0
0.800000,1,1,-28284.271,-28284.271,54.1857,6.0497,-6.5318,-9.4899,-999.0000,-999.0000,0
0.800000,1,2,0.000,-28284.271,54.1857,7.0217,-5.6100,-9.4899,-999.0000,-999.0000,0
0.800000,1,3,28284.271,-28284.271,54.1857,6.7841,-5.3111,-9.4899,-999.0000,-999.0000,0
0.800000,1,4,56568.542,-28284.271,54.1857,4.4553,-7.2914,-9.4899,-999.0000,-999.0000,0
0.800000,2,0,-56568.542,0.000,54.1857,7.9477,-6.2084,-9.4899,-999.0000,-999.0000,0
0.800000,2,1,-28284.271,0.000,54.1857,8.1779,-6.8653,-9.4899,-999.0000,-999.0000,0
0.800000,2,2,0.000,0.000,54.1857,8.3627,-7.0534,-9.4899,-999.0000,-999.0000,0
0.800000,2,3,28284.271,0.000,54.1857,8.3894,-6.8179,-9.4899,-999.0000,-999.0000,0
0.800000,2,4,56568.542,0.000,54.1857,7.9057,-6.5314,-9.4899,-999.0000,-999.0000,0
0.800000,3,0,-56568.542,28284.271,54.1857,4.7743,-6.8382,-9.4899,-999.0000,-999.0000,0
0.800000,3,1,-28284.271,28284.271,54.1857,6.3584,-5.5797,-9.4899,-999.0000,-999.0000,0
0.800000,3,2,0.000,28284.271,54.1857,6.7024,-5.7353,-9.4899,-999.0000,-999.0000,0
0.800000,3,3,28284.271,28284.271,54.1857,6.3540,-5.6979,-9.4899,-999.0000,-999.0000,0
0.800000,3,4,56568.542,28284.271,54.1857,5.6552,-5.5008,-9.4899,-999.0000,-999.0000,0
0.800000,4,0,-56568.542,56568.542,54.1857,-1.7804,-5.2835,-9.4899,-999.0000,-999.0000,0
0.800000,4,1,-28284.271,56568.542,54.1857,-3.3139,-7.5093,-9.4899,-999.0000,-999.0000,0
0.800000,4,2,0.000,56568.542,54.1857,-0.7882,-4.6291,-9.4899,-999.0000,-999.0000,0
0.800000,4,3,28284.271,56568.542,54.1857,-1.5658,-4.3879,-9.4899,-999.0000,-999.0000,0
0.800000,4,4,56568.542,56568.542,54.1857,-2.8077,-4.6871,-9.4899,-999.0000,-999.0000,0
0.900000,0,0,-56568.542,-56568.542,54.2235,-2.6492,-4.2637,-9.4853,-999.0000,-999.0000,0
0.900000,0,1,-28284.271,-56568.542,54.2235,-2.0418,-4.3810,-9.4853,-999.0000,-999.0000,0
0.900000,0,2,0.000,-56568.542,54.2235,-1.3125,-3.7737,-9.4853,-999.0000,-999.0000,0
0.900000,0,3,28284.271,-56568.542,54.2235,-6.4912,-9.0714,-9.4853,-999.0000,-999.0000,0
0.900000,0,4,56568.542,-56568.542,54.2235,-5.4821,-7.2319,-9.4853,-999.0000,-999.0000,0
0.900000,1,0,-56568.542,-28284.271,54.2235,6.2094,-5.2020,-9.4853,-999.0000,-999.0000,0
0.900000,1,1,-28284.271,-28284.271,54.2235,6.0507,-6.5288,-9.4853,-999.0000,-999.0000,0
0.900000,1,2,0.000,-28284.271,54.2235,7.0298,-5.5930,-9.4853,-999.0000,-999.0000,0
0.900000,1,3,28284.271,-28284.271,54.2235,6.7932,-5.2869,-9.4853,-999.0000,-999.0000,0
0.900000,1,4,56568.542,-28284.271,54.2235,4.4583,-7.2750,-9.4853,-999.0000,-999.0000,0
0.900000,2,0,-56568.542,0.000,54.2235,7.9511,-6.2049,-9.4853,-999.0000,-999.0000,0
