time_s,cell_idx,snr_mrc_dB,n_sats
15.000000,22,-23.7770,2
15.000000,23,-21.4674,2
15.000000,24,-23.9442,2
16.000000,0,-22.3127,2
16.000000,1,-19.3365,2
16.000000,2,-23.2163,2
16.000000,3,-17.9798,2
16.000000,4,-18.2629,2
16.000000,5,-31.3919,2
16.000000,6,-20.9962,2
16.000000,7,-17.3684,2
16.000000,8,-16.7438,2
16.000000,9,-16.9532,2
16.000000,10,-27.6997,2
16.000000,11,-18.6074,2
16.000000,12,-15.8897,2
16.000000,13,-18.4997,2
16.000000,14,-26.9251,2
16.000000,15,-19.5130,2
16.000000,16,-18.9610,2
16.000000,17,-18.7990,2
16.000000,18,-23.5841,2
16.000000,19,-29.8321,2
16.000000,20,-19.3821,2
16.000000,21,-20.0459,2
16.000000,22,-23.1769,2
16.000000,23,-21.0636,2
16.000000,24,-23.3963,2
17.000000,0,-23.4829,2
17.000000,1,-20.5000,2
17.000000,2,-24.8378,2
17.000000,3,-18.2888,2
17.000000,4,-19.8066,2
17.000000,5,-29.9232,2
17.000000,6,-20.2008,2
17.000000,7,-18.0355,2
17.000000,8,-15.9834,2
17.000000,9,-16.9861,2
17.000000,10,-28.4812,2
17.000000,11,-18.0085,2
17.000000,12,-15.9130,2
17.000000,13,-19.5138,2
17.000000,14,-25.5707,2
17.000000,15,-19.5104,2
17.000000,16,-20.1462,2
17.000000,17,-18.6133,2
17.000000,18,-22.4527,2
17.000000,19,-29.8661,2
17.000000,20,-19.1352,2
17.000000,21,-20.2706,2
17.000000,22,-22.6543,2
17.000000,23,-21.0501,2
17.000000,24,-23.2476,2
18.000000,0,-24.7367,2
18.000000,1,-22.5194,2
18.000000,2,-22.8163,2
18.000000,3,-18.6107,2
18.000000,4,-17.2365,2
18.000000,5,-28.5669,2
18.000000,6,-19.8630,2
18.000000,7,-18.8913,2
18.000000,8,-15.8425,2
18.000000,9,-17.4863,2
18.000000,10,-29.7993,2
18.000000,11,-17.6011,2
18.000000,12,-15.9263,2
18.000000,13,-21.2891,2
18.000000,14,-24.6039,2
18.000000,15,-19.3634,2
18.000000,16,-21.9425,2
18.000000,17,-18.5796,2
18.000000,18,-21.8158,2
18.000000,19,-28.2085,2
18.000000,20,-19.0971,2
18.000000,21,-20.8868,2
18.000000,22,-22.1722,2
18.000000,23,-21.0378,2
18.000000,24,-23.4735,2
19.000000,0,-26.0918,2
19.000000,1,-23.8460,2
19.000000,2,-21.6542,2
19.000000,3,-19.3083,2
19.000000,4,-15.8133,2
19.000000,5,-27.7675,2
19.000000,6,-19.9085,2
19.000000,7,-18.6296,2
19.000000,8,-15.9038,2
19.000000,9,-18.1677,2
