time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,44988,17,178.154358002,-1.342210774,6.512615047,43.825011443
385.370000000,38537,89.997547754,44989,17,178.154357915,-0.998710936,6.723151132,44.035547440
385.370000000,38537,89.997547754,44990,17,178.154357829,-0.661754636,6.925348760,44.237744983
385.370000000,38537,89.997547754,44991,17,178.154357747,-0.331442306,7.119375922,44.431772063
385.370000000,38537,89.997547754,44992,17,178.154357668,-0.007904518,7.305390061,44.617786122
385.370000000,38537,89.997547754,44993,17,178.154357591,0.308697967,7.483538765,44.795934750
385.370000000,38537,89.997547754,44994,17,178.154357518,0.618174157,7.653960409,44.966356320
385.370000000,38537,89.997547754,44995,17,178.154357447,0.920302833,7.816784716,45.129180556
385.370000000,38537,89.997547754,44996,17,178.154357379,1.214832631,7.972133283,45.284529055
385.370000000,38537,89.997547754,44997,17,178.154357313,1.501482269,8.120120042,45.432515749
385.370000000,38537,89.997547754,44998,17,178.154357251,1.779940955,8.260851688,45.573247332
385.370000000,38537,89.997547754,44999,17,178.154357192,2.049869036,8.394428059,45.706823644
385.370000000,38537,89.997547754,45000,17,178.154357135,2.310898952,8.520942491,45.833338019
385.370000000,38537,89.997547754,45001,17,178.154357081,2.562636551,8.640482128,45.952877603
385.370000000,38537,89.997547754,45002,17,178.154357031,2.804662832,8.753128214,46.065523638
385.370000000,38537,89.997547754,45003,17,178.154356983,3.036536171,8.858956352,46.171351728
385.370000000,38537,89.997547754,45004,17,178.154356938,3.257795092,8.958036738,46.270432069
385.370000000,38537,89.997547754,45005,17,178.154356896,3.467961632,9.050434379,46.362829668
385.370000000,38537,89.997547754,45006,17,178.154356856,3.666545319,9.136209286,46.448604536
385.370000000,38537,89.997547754,45007,17,178.154356820,3.853047804,9.215416646,46.527811859
385.370000000,38537,89.997547754,45008,17,178.154356786,4.026968114,9.288106982,46.600502162
385.370000000,38537,89.997547754,45009,17,178.154356756,4.187808509,9.354326297,46.666721446
385.370000000,38537,89.997547754,45010,17,178.154356728,4.335080874,9.414116196,46.726511317
385.370000000,38537,89.997547754,45011,17,178.154356703,4.468313531,9.467514000,46.779909097
385.370000000,38537,89.997547754,45012,17,178.154356682,4.587058360,9.514552849,46.826947924
385.370000000,38537,89.997547754,45013,17,178.154356663,4.690898031,9.555261787,46.867656843
385.370000000,38537,89.997547754,45014,17,178.154356647,4.779453163,9.589665834,46.902060874
385.370000000,38537,89.997547754,45015,17,178.154356634,4.852389194,9.617786058,46.930181085
385.370000000,38537,89.997547754,45016,17,178.154356623,4.909422709,9.639639623,46.952034640
385.370000000,38537,89.997547754,45017,17,178.154356616,4.950327014,9.655239834,46.967634843
385.370000000,38537,89.997547754,45018,17,178.154356612,4.974936724,9.664596170,46.976991176
385.370000000,38537,89.997547754,45019,17,178.155193806,5.269337869,9.750753071,47.063985271
385.370000000,38537,89.997547754,45020,17,178.155193808,5.260951032,9.747662764,47.060894966
385.370000000,38537,89.997547754,45021,17,178.155193812,5.235826708,9.738389977,47.051622182
385.370000000,38537,89.997547754,45022,17,178.155193819,5.194072423,9.722929041,47.036161254
385.370000000,38537,89.997547754,45023,17,178.155193830,5.135864787,9.701270496,47.014502719
385.370000000,38537,89.997547754,45024,17,178.155193843,5.061445706,9.673401064,46.986633300
385.370000000,38537,89.997547754,45025,17,178.155193858,4.971117329,9.639303614,46.952535866
385.370000000,38537,89.997547754,45026,17,178.155193877,4.865235920,9.598957122,46.912189393
385.370000000,38537,89.997547754,45027,17,178.155193899,4.744204915,9.552336613,46.865568906
385.370000000,38537,89.997547754,45028,17,178.155193923,4.608467429,9.499413101,46.812645418
385.370000000,38537,89.997547754,45029,17,178.155193951,4.458498457,9.440153510,46.753385854
385.370000000,38537,89.997547754,45030,17,178.155193981,4.294797039,9.374520584,46.687752959
385.370000000,38537,89.997547754,45031,17,178.155194014,4.117878591,9.302472796,46.615705204
385.370000000,38537,89.997547754,45032,17,178.155194050,3.928267601,9.223964223,46.537196667
385.370000000,38537,89.997547754,45033,17,178.155194089,3.726490821,9.138944430,46.452176913
385.370000000,38537,89.997547754,45034,17,178.155194131,3.513071084,9.047358319,46.360590844
385.370000000,38537,89.997547754,45035,17,178.155194176,3.288521785,8.949145976,46.262378546
385.370000000,38537,89.997547754,45036,17,178.155194223,3.053342080,8.844242495,46.157475112
385.370000000,38537,89.997547754,45037,17,178.155194274,2.808012788,8.732577779,46.045810446
385.370000000,38537,89.997547754,45038,17,178.155194327,2.552992986,8.614076332,45.927309052
385.370000000,38537,89.997547754,45039,17,178.155194383,2.288717234,8.488657014,45.801889791
385.370000000,38537,89.997547754,45040,17,178.155194442,2.015593393,8.356232787,45.669465623
385.370000000,38537,89.997547754,45041,17,178.155194504,1.734000961,8.216710420,45.529943317
385.370000000,38537,89.997547754,45042,17,178.155194568,1.444289856,8.069990172,45.383223134
385.370000000,38537,89.997547754,45043,17,178.155194636,1.146779583,7.915965447,45.229198476
385.370000000,38537,89.997547754,45044,17,178.155194706,0.841758709,7.754522400,45.067755500
385.370000000,38537,89.997547754,45045,17,178.155194779,0.529484586,7.585539516,44.898772689
385.370000000,38537,89.997547754,45046,17,178.155194855,0.210183261,7.408887136,44.722120385
385.370000000,38537,89.997547754,45047,17,178.155194934,-0.115950482,7.224426940,44.537660268
385.370000000,38537,89.997547754,45048,17,178.155195016,-0.448753002,7.032011371,44.345244780
385.370000000,38537,89.997547754,45049,17,178.155195100,-0.788091642,6.831482998,44.144716492
385.370000000,38537,89.997547754,45050,17,178.155195187,-1.133864573,6.622673810,43.935907391
385.370000000,38537,89.997547754,45051,17,178.155195277,-1.486000676,6.405404433,43.718638104
385.370000000,38537,89.997547754,45052,17,178.155195370,-1.844459497,6.179483258,43.492717021
385.370000000,38537,89.997547754,45053,17,178.155195465,-2.209231306,5.944705468,43.257939326
385.370000000,38537,89.997547754,45054,17,178.155195564,-2.580337277,5.700851953,43.014085910
385.370000000,38537,89.997547754,45055,17,178.155195665,-2.957829831,5.447688099,42.760922157
385.370000000,38537,89.997547754,45056,17,178.155195769,-3.341793163,5.184962423,42.498196585
385.370000000,38537,89.997547754,45057,17,178.155195875,-3.732343975,4.912405043,42.225639311
385.370000000,38537,89.997547754,45058,18,178.155195984,-4.036871818,4.696433754,42.009668132
385.370000000,38537,89.997547754,45059,18,178.155196096,-3.759170519,4.895892176,42.209126666
385.370000000,38537,89.997547754,45060,18,178.155196211,-3.495425181,5.083894676,42.397129281
385.370000000,38537,89.997547754,45061,18,178.155196329,-3.245635082,5.260771406,42.574006128
385.370000000,38537,89.997547754,45062,18,178.155196449,-3.009815622,5.426822605,42.740057448
385.370000000,38537,89.997547754,45063,18,178.155196572,-2.787991743,5.582321417,42.895556382
385.370000000,38537,89.997547754,45064,18,178.155196697,-2.580191782,5.727516345,43.040751436
385.370000000,38537,89.997547754,45065,18,178.155196825,-2.386441813,5.862633409,43.175868628
385.370000000,38537,89.997547754,45066,18,178.155196956,-2.206760532,5.987878023,43.301113373
385.370000000,38537,89.997547754,45067,18,178.155197090,-2.041154761,6.103436662,43.416672145
385.370000000,38537,89.997547754,45068,18,178.155197226,-1.889615634,6.209478307,43.522713927
385.370000000,38537,89.997547754,45069,18,178.155197365,-1.752115531,6.306155741,43.619391500
385.370000000,38537,89.997547754,45070,18,178.155197507,-1.628605784,6.393606668,43.706842568
385.370000000,38537,89.997547754,45071,18,178.155197651,-1.519015211,6.471954713,43.785190757
385.370000000,38537,89.997547754,45072,18,178.155197797,-1.423249460,6.541310293,43.854546484
385.370000000,38537,89.997547754,45073,18,178.155197947,-1.341191151,6.601771387,43.915007727
385.370000000,38537,89.997547754,45074,18,178.155198099,-1.272700778,6.653424203,43.966660695
385.370000000,38537,89.997547754,45075,18,178.155198253,-1.217618299,6.696343766,44.009580412
385.370000000,38537,89.997547754,45076,18,178.155198410,-1.175765341,6.730594416,44.043831220
385.370000000,38537,89.997547754,45077,18,178.155198570,-1.146947906,6.756230247,44.069467210
385.370000000,38537,89.997547754,45078,18,178.155198732,-1.130959483,6.773295466,44.086532592
385.370000000,38537,89.997547754,45079,18,178.155198897,-1.127584449,6.781824697,44.095061987
385.370000000,38537,89.997547754,45080,18,178.155199064,-1.136601641,6.781843223,44.095080681
385.370000000,38537,89.997547754,45081,18,178.155199234,-1.157787995,6.773367174,44.086604801
385.370000000,38537,89.997547754,45082,18,178.155199406,-1.190922151,6.756403655,44.069641455
385.370000000,38537,89.997547754,45083,18,178.155199581,-1.235787938,6.730950834,44.044188808
385.370000000,38537,89.997547754,45084,18,178.155199758,-1.292177666,6.696997962,44.010236113
385.370000000,38537,89.997547754,45085,18,178.155199938,-1.359895162,6.654525351,43.967763682
385.370000000,38537,89.997547754,45086,18,178.155200120,-1.438758519,6.603504302,43.916742815
385.370000000,38537,89.997547754,45087,18,178.155200304,-1.528602518,6.543896973,43.857135670
385.370000000,38537,89.997547754,45088,18,178.155200491,-1.629280719,6.475656193,43.788895078
