time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,73,9,178.106506093,7.739629473,138.728084704,57.959234597
385.370000000,38537,89.997547754,74,6,178.236381030,21.832862063,126.330852228,51.332104382
385.370000000,38537,89.997547754,75,3,178.154031172,15.358289927,139.681379466,59.328205200
385.370000000,38537,89.997547754,76,2,178.168319975,3.066000082,138.274062583,56.876836791
385.370000000,38537,89.997547754,77,0,178.165289252,10.462330326,139.773774758,58.489753391
385.370000000,38537,89.997547754,78,2,178.229895010,2.726048485,127.158397460,50.835722881
385.370000000,38537,89.997547754,79,12,178.207859260,6.187267793,130.757064882,54.887539136
385.370000000,38537,89.997547754,80,17,178.176573431,20.880339797,142.857129484,59.786045451
385.370000000,38537,89.997547754,81,12,178.186415325,20.063879711,141.775839338,59.137071919
385.370000000,38537,89.997547754,82,14,178.131289936,3.745467720,136.477958319,56.811786533
385.370000000,38537,89.997547754,83,3,178.171422979,11.941013410,140.560641057,58.751837016
385.370000000,38537,89.997547754,84,10,178.122981088,2.653965418,136.692566771,56.798922172
385.370000000,38537,89.997547754,85,7,178.210883526,7.344943834,134.387750831,55.325884299
385.370000000,38537,89.997547754,86,5,178.129775017,4.374876632,138.865359370,56.962866058
385.370000000,38537,89.997547754,87,16,178.227713105,24.889356679,135.475213850,56.336013888
385.370000000,38537,89.997547754,88,1,178.186657401,19.353179108,137.392969920,59.055661310
385.370000000,38537,89.997547754,89,8,178.125851918,3.095174472,130.843607386,56.767411875
385.370000000,38537,89.997547754,90,10,178.140052753,5.997646306,137.515128491,57.629851710
385.370000000,38537,89.997547754,91,3,178.166844518,12.213253008,137.945802954,58.795808239
385.370000000,38537,89.997547754,92,15,178.209710054,26.257445699,138.375219510,56.726793606
385.370000000,38537,89.997547754,93,9,178.105731332,11.474704076,138.534468034,58.562377867
385.370000000,38537,89.997547754,94,17,178.205272192,29.902864582,140.884816111,57.549054644
385.370000000,38537,89.997547754,95,9,178.108070929,2.458256792,135.464809551,56.743735379
385.370000000,38537,89.997547754,96,10,178.119584336,7.774849658,139.304192283,57.971658088
385.370000000,38537,89.997547754,97,3,178.202878712,3.739941586,134.035554342,55.135716032
385.370000000,38537,89.997547754,98,13,178.124580093,8.732853257,139.622958004,58.085322386
385.370000000,38537,89.997547754,99,16,178.185617880,9.973317943,140.819553260,58.250614384
