time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.700000,0,4,56568.542,-56568.542,54.1478,1,179.6328,32.4417,-6.3491,-9.4621
0.700000,1,0,-56568.542,-28284.271,54.1478,1,180.3109,45.6064,6.1375,-5.2293
0.700000,1,1,-28284.271,-28284.271,54.1478,1,180.1746,45.2242,5.8916,-6.6779
0.700000,1,2,0.000,-28284.271,54.1478,1,180.0068,46.0741,6.9093,-5.4777
0.700000,1,3,28284.271,-28284.271,54.1478,1,179.8885,45.7754,6.7288,-4.9528
0.700000,1,4,56568.542,-28284.271,54.1478,1,179.7803,43.1651,4.2267,-6.7088
0.700000,2,0,-56568.542,0.000,54.1478,1,180.4514,47.5523,7.9429,-6.1670
0.700000,2,1,-28284.271,0.000,54.1478,1,180.3191,47.6510,8.1738,-6.8695
0.700000,2,2,0.000,0.000,54.1478,1,180.1954,47.7125,8.3591,-7.0221
0.700000,2,3,28284.271,0.000,54.1478,1,180.0408,47.5838,8.3850,-6.8564
0.700000,2,4,56568.542,0.000,54.1478,1,179.9362,46.9976,7.9034,-6.4889
0.700000,3,0,-56568.542,28284.271,54.1478,1,180.5990,44.2108,4.4537,-6.5874
0.700000,3,1,-28284.271,28284.271,54.1478,1,180.4710,45.9164,6.2874,-5.3338
0.700000,3,2,0.000,28284.271,54.1478,1,180.3512,46.0888,6.5796,-5.5916
0.700000,3,3,28284.271,28284.271,54.1478,1,180.2405,45.5886,6.1901,-5.8565
0.700000,3,4,56568.542,28284.271,54.1478,1,180.1395,44.7115,5.4140,-5.5973
0.700000,4,0,-56568.542,56568.542,54.1478,1,180.7531,36.1094,-3.8017,-7.0841
0.700000,4,1,-28284.271,56568.542,54.1478,1,180.6292,37.4958,-2.2914,-6.7618
0.700000,4,2,0.000,56568.542,54.1478,1,180.5135,39.1023,-0.5692,-5.2531
0.700000,4,3,28284.271,56568.542,54.1478,1,180.4066,38.0396,-1.5251,-6.3222
0.700000,4,4,56568.542,56568.542,54.1478,1,180.3092,36.1427,-3.3245,-7.8491
0.800000,0,0,-56568.542,-56568.542,54.1857,1,180.1753,35.1942,-4.1391,-8.7429
0.800000,0,1,-28284.271,-56568.542,54.1857,1,179.9949,36.4132,-2.7397,-7.1568
0.800000,0,2,0.000,-56568.542,54.1857,1,179.8632,37.8308,-1.1904,-5.2592
0.800000,0,3,28284.271,-56568.542,54.1857,1,179.7411,34.6188,-4.2803,-8.4012
0.800000,0,4,56568.542,-56568.542,54.1857,1,179.6294,32.4896,-6.2978,-9.4216
0.800000,1,0,-56568.542,-28284.271,54.1857,1,180.3076,45.6164,6.1508,-5.2129
0.800000,1,1,-28284.271,-28284.271,54.1857,1,180.1712,45.2222,5.8930,-6.6748
0.800000,1,2,0.000,-28284.271,54.1857,1,180.0033,46.0798,6.9184,-5.4594
0.800000,1,3,28284.271,-28284.271,54.1857,1,179.8849,45.7813,6.7384,-4.9280
0.800000,1,4,56568.542,-28284.271,54.1857,1,179.7767,43.1645,4.2298,-6.6896
0.800000,2,0,-56568.542,0.000,54.1857,1,180.4479,47.5521,7.9462,-6.1633
0.800000,2,1,-28284.271,0.000,54.1857,1,180.3156,47.6510,8.1774,-6.8648
0.800000,2,2,0.000,0.000,54.1857,1,180.1917,47.7125,8.3627,-7.0166
0.800000,2,3,28284.271,0.000,54.1857,1,180.0370,47.5837,8.3886,-6.8523
0.800000,2,4,56568.542,0.000,54.1857,1,179.9324,46.9967,7.9063,-6.4861
0.800000,3,0,-56568.542,28284.271,54.1857,1,180.5953,44.2065,4.4531,-6.5743
0.800000,3,1,-28284.271,28284.271,54.1857,1,180.4672,45.9202,6.2950,-5.3132
0.800000,3,2,0.000,28284.271,54.1857,1,180.3473,46.0937,6.5884,-5.5747
0.800000,3,3,28284.271,28284.271,54.1857,1,180.2365,45.5917,6.1972,-5.8451
0.800000,3,4,56568.542,28284.271,54.1857,1,180.1354,44.7120,5.4186,-5.5891
0.800000,4,0,-56568.542,56568.542,54.1857,1,180.7492,36.0928,-3.8144,-7.0910
0.800000,4,1,-28284.271,56568.542,54.1857,1,180.6253,37.4909,-2.2924,-6.7572
0.800000,4,2,0.000,56568.542,54.1857,1,180.5094,39.1069,-0.5606,-5.2395
0.800000,4,3,28284.271,56568.542,54.1857,1,180.4024,38.0374,-1.5231,-6.3142
0.800000,4,4,56568.542,56568.542,54.1857,1,180.3049,36.1309,-3.3320,-7.8500
0.900000,0,0,-56568.542,-56568.542,54.2235,1,180.1723,35.1836,-4.1467,-8.7477
0.900000,0,1,-28284.271,-56568.542,54.2235,1,179.9918,36.4158,-2.7340,-7.1470
0.900000,0,2,0.000,-56568.542,54.2235,1,179.8600,37.8452,-1.1728,-5.2460
0.900000,0,3,28284.271,-56568.542,54.2235,1,179.7378,34.6175,-4.2783,-8.4076
0.900000,0,4,56568.542,-56568.542,54.2235,1,179.6260,32.5367,-6.2474,-9.3821
0.900000,1,0,-56568.542,-28284.271,54.2235,1,180.3043,45.6265,6.1641,-5.1964
0.900000,1,1,-28284.271,-28284.271,54.2235,1,180.1678,45.2202,5.8943,-6.6717
0.900000,1,2,0.000,-28284.271,54.2235,1,179.9999,46.0854,6.9275,-5.4411
0.900000,1,3,28284.271,-28284.271,54.2235,1,179.8814,45.7873,6.7479,-4.9032
0.900000,1,4,56568.542,-28284.271,54.2235,1,179.7731,43.1639,4.2328,-6.6703
0.900000,2,0,-56568.542,0.000,54.2235,1,180.4444,47.5519,7.9495,-6.1596
0.900000,2,1,-28284.271,0.000,54.2235,1,180.3120,47.6509,8.1809,-6.8601
0.900000,2,2,0.000,0.000,54.2235,1,180.1880,47.7125,8.3664,-7.0110
0.900000,2,3,28284.271,0.000,54.2235,1,180.0332,47.5835,8.3922,-6.8481
0.900000,2,4,56568.542,0.000,54.2235,1,179.9285,46.9957,7.9092,-6.4833
0.900000,3,0,-56568.542,28284.271,54.2235,1,180.5916,44.2066,4.4570,-6.5559
0.900000,3,1,-28284.271,28284.271,54.2235,1,180.4634,45.9240,6.3026,-5.2926
0.900000,3,2,0.000,28284.271,54.2235,1,180.3434,46.0987,6.5972,-5.5578
0.900000,3,3,28284.271,28284.271,54.2235,1,180.2325,45.5948,6.2043,-5.8338
0.900000,3,4,56568.542,28284.271,54.2235,1,180.1313,44.7125,5.4231,-5.5809
0.900000,4,0,-56568.542,56568.542,54.2235,1,180.7454,36.0763,-3.8271,-7.0983
0.900000,4,1,-28284.271,56568.542,54.2235,1,180.6213,37.4860,-2.2933,-6.7529
0.900000,4,2,0.000,56568.542,54.2235,1,180.5054,39.1115,-0.5519,-5.2262
0.900000,4,3,28284.271,56568.542,54.2235,1,180.3983,38.0353,-1.5210,-6.3063
0.900000,4,4,56568.542,56568.542,54.2235,1,180.3007,36.1192,-3.3395,-7.8509
1.000000,0,0,-56568.542,-56568.542,54.2613,1,180.1692,35.1731,-4.1541,-8.7524
1.000000,0,1,-28284.271,-56568.542,54.2613,1,179.9886,36.4185,-2.7282,-7.1373
1.000000,0,2,0.000,-56568.542,54.2613,1,179.8567,37.8597,-1.1551,-5.2328
1.000000,0,3,28284.271,-56568.542,54.2613,1,179.7345,34.6163,-4.2762,-8.4140
1.000000,0,4,56568.542,-56568.542,54.2613,1,179.6226,32.5828,-6.1979,-9.3436
