time_s,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
269.000000000,31.824288660,20,9,183.035226568,-7.245903032,5.517557062,47.710822023
269.000000000,31.824288660,21,9,183.037214846,-7.248734157,5.513554003,47.708807242
269.000000000,31.824288660,22,9,183.040259518,-7.252011922,5.508221449,47.706519361
269.000000000,31.824288660,23,9,183.043991809,-7.254285805,5.503000761,47.705030964
269.000000000,31.824288660,24,9,183.047960547,-7.254598259,5.499039441,47.705038381
269.000000000,31.824288660,25,9,183.051687049,-7.252917987,5.496811154,47.706536596
269.000000000,31.824288660,26,9,183.054722850,-7.250137332,5.496062733,47.708823977
269.000000000,31.824288660,27,9,183.056703327,-7.247640468,5.496090399,47.710832119
269.000000000,31.824288660,28,9,183.057390954,-7.246647491,5.496195227,47.711624575
269.000000000,31.824288660,29,9,183.056703327,-7.247640471,5.496090394,47.710832115
269.000000000,31.824288660,30,9,183.054722850,-7.250137335,5.496062726,47.708823969
269.000000000,31.824288660,31,9,183.051687049,-7.252917988,5.496811146,47.706536588
269.000000000,31.824288660,32,9,183.047960547,-7.254598256,5.499039435,47.705038376
269.000000000,31.824288660,33,9,183.043991809,-7.254285799,5.503000759,47.705030962
269.000000000,31.824288660,34,9,183.040259518,-7.252011913,5.508221450,47.706519362
269.000000000,31.824288660,35,9,183.037214846,-7.248734148,5.513554005,47.708807244
269.000000000,31.824288660,36,9,183.035226568,-7.245903026,5.517557064,47.710822025
270.000000000,32.089899223,0,9,182.993009364,-7.183368223,5.561416233,47.712463990
270.000000000,32.089899223,1,9,182.989191868,-7.183060627,5.565136656,47.712366917
270.000000000,32.089899223,2,9,182.991101577,-7.183991952,5.562656097,47.711796067
270.000000000,32.089899223,3,9,182.994918785,-7.184335986,5.558839538,47.711796717
270.000000000,32.089899223,4,9,182.996826286,-7.183750336,5.557502482,47.712367162
270.000000000,32.089899223,5,9,182.994918785,-7.184335985,5.558839537,47.711796716
270.000000000,32.089899223,6,9,182.991101577,-7.183991949,5.562656097,47.711796067
270.000000000,32.089899223,7,9,182.985373799,-7.182827847,5.568663013,47.712075205
270.000000000,32.089899223,8,9,182.986398090,-7.183933417,5.566876768,47.711313251
270.000000000,32.089899223,9,9,182.989195426,-7.186209705,5.562557065,47.709790884
270.000000000,32.089899223,10,9,182.993014104,-7.187562379,5.557980017,47.709032514
270.000000000,32.089899223,11,9,182.996829838,-7.186892554,5.554927847,47.709796078
270.000000000,32.089899223,12,9,182.999621286,-7.185123721,5.553657700,47.711317380
270.000000000,32.089899223,13,9,183.000642634,-7.184206669,5.553396133,47.712077160
270.000000000,32.089899223,14,9,182.999621286,-7.185123721,5.553657697,47.711317377
270.000000000,32.089899223,15,9,182.996829838,-7.186892552,5.554927843,47.709796075
270.000000000,32.089899223,16,9,182.993014104,-7.187562375,5.557980016,47.709032513
270.000000000,32.089899223,17,9,182.989195426,-7.186209699,5.562557066,47.709790885
270.000000000,32.089899223,18,9,182.986398090,-7.183933412,5.566876769,47.711313253
270.000000000,32.089899223,19,9,182.981555157,-7.182670192,5.571994558,47.711588109
270.000000000,32.089899223,20,9,182.982247327,-7.183800461,5.570499460,47.710785181
270.000000000,32.089899223,21,9,182.984239809,-7.186681824,5.566475160,47.708753362
270.000000000,32.089899223,22,9,182.987290913,-7.190023870,5.561116843,47.706446149
270.000000000,32.089899223,23,9,182.991031079,-7.192355711,5.555875733,47.704945206
270.000000000,32.089899223,24,9,182.995008179,-7.192704653,5.551906170,47.704952743
270.000000000,32.089899223,25,9,182.998742521,-7.191035098,5.549682764,47.706463678
270.000000000,32.089899223,26,9,183.001784701,-7.188246346,5.548947333,47.708770427
270.000000000,32.089899223,27,9,183.003769336,-7.185736067,5.548987825,47.710795554
270.000000000,32.089899223,28,9,183.004458406,-7.184736931,5.549097908,47.711594708
270.000000000,32.089899223,29,9,183.003769336,-7.185736069,5.548987820,47.710795550
270.000000000,32.089899223,30,9,183.001784701,-7.188246347,5.548947326,47.708770421
270.000000000,32.089899223,31,9,182.998742521,-7.191035097,5.549682758,47.706463672
270.000000000,32.089899223,32,9,182.995008179,-7.192704648,5.551906166,47.704952739
270.000000000,32.089899223,33,9,182.991031079,-7.192355702,5.555875733,47.704945206
270.000000000,32.089899223,34,9,182.987290913,-7.190023859,5.561116846,47.706446152
270.000000000,32.089899223,35,9,182.984239809,-7.186681813,5.566475164,47.708753366
270.000000000,32.089899223,36,9,182.982247327,-7.183800455,5.570499463,47.710785183
271.000000000,32.358199197,0,9,182.939942048,-7.120079822,5.614483549,47.712463990
271.000000000,32.358199197,1,9,182.936116648,-7.119736507,5.618208413,47.712363454
271.000000000,32.358199197,2,9,182.938030317,-7.120695910,5.615719099,47.711787810
