time_s,sat_x_m,sat_y_m,sat_z_m,elevation_deg
324.000000000,463640.373799002,0.000000000,584564.578363393,51.580729826
325.000000000,456096.842233343,0.000000000,585063.302652210,52.061148412
326.000000000,448552.774240908,0.000000000,585553.845742933,52.546742639
327.000000000,441008.178694460,0.000000000,586036.207058621,53.037544517
328.000000000,433463.064467386,0.000000000,586510.386031956,53.533584112
329.000000000,425917.440433680,0.000000000,586976.382105247,54.034889430
330.000000000,418371.315467939,0.000000000,587434.194730422,54.541486280
331.000000000,410824.698445347,0.000000000,587883.823369038,55.053398149
332.000000000,403277.598241664,0.000000000,588325.267492276,55.570646061
333.000000000,395730.023733225,0.000000000,588758.526580940,56.093248443
334.000000000,388181.983796918,0.000000000,589183.600125466,56.621220983
335.000000000,380633.487310178,0.000000000,589600.487625912,57.154576491
336.000000000,373084.543150979,0.000000000,590009.188591969,57.693324750
337.000000000,365535.160197822,0.000000000,590409.702542952,58.237472377
338.000000000,357985.347329722,0.000000000,590802.029007806,58.787022670
339.000000000,350435.113426200,0.000000000,591186.167525109,59.341975467
340.000000000,342884.467367275,0.000000000,591562.117643063,59.902326994
341.000000000,335333.418033448,0.000000000,591929.878919506,60.468069720
342.000000000,327781.974305694,0.000000000,592289.450921903,61.039192214
343.000000000,320230.145065452,0.000000000,592640.833227354,61.615678992
344.000000000,312677.939194616,0.000000000,592984.025422589,62.197510382
345.000000000,305125.365575523,0.000000000,593319.027103971,62.784662381
346.000000000,297572.433090941,0.000000000,593645.837877496,63.377106516
347.000000000,290019.150624059,0.000000000,593964.457358795,63.974809712
348.000000000,282465.527058482,0.000000000,594274.885173131,64.577734166
349.000000000,274911.571278213,0.000000000,594577.120955402,65.185837218
350.000000000,267357.292167646,0.000000000,594871.164350141,65.799071239
351.000000000,259802.698611553,0.000000000,595157.015011515,66.417383518
352.000000000,252247.799495082,0.000000000,595434.672603332,67.040716159
353.000000000,244692.603703735,0.000000000,595704.136799028,67.669005988
354.000000000,237137.120123363,0.000000000,595965.407281681,68.302184468
355.000000000,229581.357640161,0.000000000,596218.483744004,68.940177623
356.000000000,222025.325140646,0.000000000,596463.365888348,69.582905972
357.000000000,214469.031511655,0.000000000,596700.053426702,70.230284482
358.000000000,206912.485640331,0.000000000,596928.546080689,70.882222522
359.000000000,199355.696414114,0.000000000,597148.843581575,71.538623842
